dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders
20/4/2022,2,1,4,0,0,5,1,1,0.48,0.4697,0.67,0.1045,registered,59
10/6/2022,2,1,6,6,0,0,0,1,0.62,0.5909,0.73,0,casual,3
8/1/2021,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,casual,1
31/7/2022,3,1,7,20,0,2,1,3,0.7,0.6515,0.7,0.194,registered,397
1/3/2021,1,0,3,22,0,2,1,1,0.24,0.2727,0.62,0.1045,casual,3
24/2/2022,1,1,2,17,0,5,1,3,0.42,0.4242,0.94,0.1045,registered,242
8/11/2022,4,1,11,5,0,4,1,2,0.3,0.2879,0.42,0.2239,casual,0
26/10/2021,4,0,10,22,0,3,1,2,0.48,0.4697,0.88,0.0896,casual,23
12/3/2021,1,0,3,0,0,6,0,1,0.26,0.2727,0.6,0.1343,registered,30
21/6/2022,3,1,6,20,0,4,1,1,0.86,0.7879,0.44,0.194,casual,79
17/3/2021,1,0,3,20,0,4,1,1,0.42,0.4242,0.67,0.2239,registered,112
20/10/2021,4,0,10,7,0,4,1,1,0.42,0.4242,0.77,0.4478,casual,15
3/5/2021,2,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,casual,59
5/1/2022,1,1,1,16,0,4,1,1,0.36,0.3333,0.34,0.2836,casual,19
28/3/2021,2,0,3,5,0,1,1,1,0.18,0.1818,0.43,0.194,registered,8
14/3/2022,1,1,3,13,0,3,1,1,0.66,0.6212,0.27,0.2239,casual,57
10/9/2022,3,1,9,20,0,1,1,1,0.6,0.6212,0.4,0.194,registered,356
22/7/2022,3,1,7,4,0,0,0,1,0.6,0.5455,0.88,0,casual,6
16/12/2021,4,0,12,19,0,5,1,2,0.32,0.303,0.45,0.2239,casual,11
13/10/2022,4,1,10,3,0,6,0,1,0.32,0.303,0.66,0.2239,casual,2
18/5/2021,2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,registered,2
21/9/2021,3,0,9,12,0,3,1,2,0.64,0.5909,0.78,0.0896,casual,42
15/9/2021,3,0,9,14,0,4,1,2,0.64,0.6061,0.65,0.4179,casual,36
5/6/2021,2,0,6,23,0,0,0,1,0.62,0.5909,0.78,0.1343,casual,25
10/7/2021,3,0,7,1,0,0,0,1,0.7,0.6515,0.61,0.1343,casual,19
25/3/2021,2,0,3,18,0,5,1,1,0.3,0.2879,0.39,0.2537,casual,8
30/10/2021,4,0,10,14,0,0,0,1,0.42,0.4242,0.38,0.194,registered,209
12/11/2021,4,0,11,18,0,6,0,1,0.42,0.4242,0.58,0.194,registered,150
14/8/2022,3,1,8,7,0,2,1,2,0.66,0.6061,0.83,0.0896,casual,1
4/12/2021,4,0,12,21,0,0,0,1,0.36,0.3636,0.81,0.1045,registered,65
27/8/2022,3,1,8,12,0,1,1,1,0.76,0.7121,0.62,0,registered,214
22/5/2021,2,0,5,15,0,0,0,2,0.66,0.6212,0.61,0.1642,casual,110
10/5/2021,2,0,5,22,0,2,1,1,0.52,0.5,0.55,0.1045,registered,121
1/1/2021,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,casual,15
26/9/2021,4,0,9,4,0,1,1,2,0.62,0.5455,0.94,0.0896,casual,2
1/9/2021,3,0,9,8,0,4,1,1,0.62,0.5909,0.73,0.1343,registered,467
15/7/2021,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.194,casual,85
6/12/2021,4,0,12,13,0,2,1,3,0.46,0.4545,1,0.194,casual,6
4/2/2021,1,0,2,8,0,5,1,1,0.14,0.1515,0.74,0.1343,registered,217
22/1/2021,1,0,1,17,0,6,0,1,0.12,0.197,0.28,0,registered,59
21/9/2022,3,1,9,6,0,5,1,1,0.5,0.4848,0.77,0.0896,registered,146
4/7/2022,3,1,7,19,1,3,0,1,0.86,0.803,0.47,0.2239,casual,177
29/8/2022,3,1,8,14,0,3,1,1,0.76,0.6818,0.4,0.0896,registered,214
29/4/2021,2,0,4,11,0,5,1,1,0.6,0.6212,0.38,0.2239,registered,108
15/8/2021,3,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,casual,70
6/10/2022,4,1,10,23,0,6,0,1,0.44,0.4394,0.62,0.1343,registered,142
26/2/2022,1,1,2,13,0,0,0,1,0.32,0.3333,0.36,0,casual,58
31/12/2021,1,0,12,9,0,6,0,1,0.38,0.3939,0.76,0,registered,72
27/10/2021,4,0,10,4,0,4,1,3,0.48,0.4697,0.88,0,registered,3
2/6/2022,2,1,6,19,0,6,0,1,0.64,0.6212,0.36,0.1642,registered,369
4/5/2021,2,0,5,17,0,3,1,1,0.4,0.4091,0.71,0.2537,registered,388
11/4/2022,2,1,4,23,0,3,1,1,0.34,0.303,0.57,0.2985,casual,9
27/1/2022,1,1,1,9,0,5,1,3,0.5,0.4848,0.88,0.2836,registered,101
21/2/2021,1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,casual,2
24/2/2021,1,0,2,22,0,4,1,3,0.34,0.3182,0.87,0.2836,registered,50
3/9/2022,3,1,9,12,1,1,0,2,0.76,0.7121,0.62,0.2985,registered,352
11/12/2022,4,1,12,12,0,2,1,2,0.36,0.3182,0.53,0.4478,casual,13
11/3/2022,1,1,3,11,0,0,0,1,0.36,0.3333,0.43,0.2836,casual,90
25/1/2021,1,0,1,5,0,2,1,1,0.14,0.1364,0.74,0.2239,registered,9
10/8/2021,3,0,8,21,0,3,1,1,0.76,0.6667,0.33,0.1045,casual,47
6/3/2021,1,0,3,14,0,0,0,3,0.44,0.4394,1,0.2239,casual,12
15/10/2021,4,0,10,15,0,6,0,1,0.62,0.6212,0.31,0.4925,casual,166
26/7/2022,3,1,7,6,0,4,1,1,0.66,0.6061,0.78,0.2537,casual,16
14/6/2021,2,0,6,6,0,2,1,1,0.54,0.5152,0.56,0.2985,registered,107
9/11/2022,4,1,11,15,0,5,1,1,0.46,0.4545,0.36,0.2239,casual,78
4/9/2022,3,1,9,0,0,2,1,2,0.7,0.6667,0.84,0.2537,registered,19
25/8/2021,3,0,8,12,0,4,1,3,0.7,0.6667,0.79,0,casual,9
28/2/2022,1,1,2,15,0,3,1,2,0.4,0.4091,0.82,0.2836,casual,3
18/9/2022,3,1,9,17,0,2,1,3,0.6,0.5455,0.88,0.194,casual,36
12/12/2021,4,0,12,15,0,1,1,2,0.32,0.3333,0.57,0.1045,casual,8
7/9/2022,3,1,9,19,0,5,1,1,0.74,0.6818,0.62,0.2836,registered,498
9/1/2021,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,registered,12
17/6/2022,2,1,6,15,0,0,0,1,0.66,0.6212,0.5,0.2239,casual,203
18/2/2021,1,0,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836,registered,20
10/2/2022,1,1,2,11,0,5,1,2,0.28,0.2879,0.45,0.1045,casual,19
15/2/2021,1,0,2,2,0,2,1,1,0.28,0.2273,0.41,0.6866,casual,1
31/7/2021,3,0,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,casual,19
20/8/2022,3,1,8,18,0,1,1,2,0.62,0.5909,0.78,0.2537,registered,726
8/6/2022,2,1,6,14,0,5,1,1,0.76,0.6667,0.31,0.3881,registered,245
22/9/2021,3,0,9,10,0,4,1,2,0.64,0.5758,0.89,0.2239,registered,101
10/9/2022,3,1,9,23,0,1,1,1,0.54,0.5152,0.52,0,registered,86
5/12/2022,4,1,12,12,0,3,1,1,0.44,0.4394,0.41,0.2836,registered,208
6/8/2022,3,1,8,8,0,1,1,2,0.7,0.6667,0.79,0,casual,27
9/6/2022,2,1,6,4,0,6,0,1,0.62,0.6212,0.57,0,casual,2
27/10/2021,4,0,10,5,0,4,1,3,0.48,0.4697,0.88,0.0896,registered,14
26/5/2021,2,0,5,10,0,4,1,1,0.7,0.6667,0.74,0.2836,registered,94
31/12/2022,1,1,12,16,0,1,1,2,0.26,0.2576,0.48,0.194,casual,30
14/6/2021,2,0,6,23,0,2,1,1,0.56,0.5303,0.68,0.2239,casual,19
9/5/2022,2,1,5,20,0,3,1,3,0.5,0.4848,0.82,0.2239,registered,48
27/3/2022,2,1,3,1,0,2,1,1,0.3,0.2727,0.26,0.4627,registered,4
26/10/2022,4,1,10,21,0,5,1,2,0.54,0.5152,0.77,0.1343,registered,252
9/4/2021,2,0,4,19,0,6,0,2,0.38,0.3939,0.82,0.1343,casual,47
18/1/2022,1,1,1,14,0,3,1,1,0.3,0.2727,0.33,0.3881,casual,7
6/4/2021,2,0,4,2,0,3,1,1,0.24,0.2424,0.7,0.1343,casual,0
4/3/2022,1,1,3,6,0,0,0,2,0.3,0.2727,0.52,0.2985,casual,0
9/4/2021,2,0,4,18,0,6,0,2,0.38,0.3939,0.82,0.1045,casual,48
15/6/2022,2,1,6,18,0,5,1,1,0.72,0.6515,0.39,0.2239,casual,121
27/2/2022,1,1,2,4,0,1,1,1,0.22,0.2273,0.8,0.1343,casual,0
10/8/2021,3,0,8,16,0,3,1,1,0.86,0.7424,0.26,0.2985,registered,206
29/4/2022,2,1,4,20,0,0,0,1,0.56,0.5303,0.32,0.0896,casual,45
6/4/2022,2,1,4,0,0,5,1,1,0.4,0.4091,0.43,0,casual,12
15/8/2022,3,1,8,13,0,3,1,2,0.78,0.7121,0.49,0.194,registered,206
17/10/2021,4,0,10,14,0,1,1,1,0.58,0.5455,0.49,0.194,casual,44
9/4/2021,2,0,4,16,0,6,0,2,0.38,0.3939,0.82,0,registered,118
10/7/2021,3,0,7,18,0,0,0,1,0.82,0.7424,0.43,0.2836,registered,222
16/4/2021,2,0,4,7,0,6,0,2,0.4,0.4091,0.82,0.4179,registered,18
26/1/2022,1,1,1,7,0,4,1,2,0.28,0.303,0.81,0.0896,registered,228
